City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Codrington,AU,2022-01-29 12:17:34,-38.2667,141.9667,62.08,81,59,11.72
259,Muravlenko,RU,2022-01-29 12:17:34,63.7898,74.523,-10.62,99,86,9.22
260,Russkiy,RU,2022-01-29 12:17:35,43.0147,131.8642,15.66,63,85,13.73
261,Sao Filipe,CV,2022-01-29 12:17:35,14.8961,-24.4956,71.53,67,100,10.74
262,Gondanglegi,ID,2022-01-29 12:17:36,-7.7479,112.0132,76.06,94,99,2.64
263,Grindavik,IS,2022-01-29 12:17:36,63.8424,-22.4338,28.87,74,0,11.5
264,Castro,BR,2022-01-29 12:17:36,-24.7911,-50.0119,59.72,99,100,4.0
265,Roald,NO,2022-01-29 12:17:37,62.5833,6.1333,41.0,93,75,14.97
266,Salalah,OM,2022-01-29 12:17:37,17.0151,54.0924,78.89,61,20,8.05
267,Awbari,LY,2022-01-29 12:17:38,26.5921,12.7805,58.08,25,51,4.05
268,Kaitangata,NZ,2022-01-29 12:17:38,-46.2817,169.8464,50.65,90,72,3.83
269,Thinadhoo,MV,2022-01-29 12:17:38,0.5333,72.9333,81.14,66,81,4.59
270,Pedernales,DO,2022-01-29 12:17:39,18.0384,-71.744,74.64,68,0,1.68
271,Linguere,SN,2022-01-29 12:17:39,15.3953,-15.1193,88.57,13,100,11.3
272,Parintins,BR,2022-01-29 12:17:40,-2.6283,-56.7358,74.73,97,100,2.68
273,Lata,PT,2022-01-29 12:17:40,40.1629,-8.3327,62.92,24,0,7.07
274,Pampa,US,2022-01-29 12:16:55,35.5362,-100.9599,38.19,54,0,11.5
275,Beohari,IN,2022-01-29 12:17:41,24.05,81.3833,65.08,31,0,5.68
276,Kyren,RU,2022-01-29 12:17:41,51.6828,102.1408,-2.54,93,21,1.95
277,Olafsvik,IS,2022-01-29 12:17:42,64.8945,-23.7142,31.96,66,30,15.37
278,Anloga,GH,2022-01-29 12:17:42,5.7947,0.8973,84.76,56,22,8.28
279,Puro,PH,2022-01-29 12:17:43,12.4841,123.3827,79.21,84,92,5.61
